,random,top,topic
17807,8,10,10
17857,7,10,10
17907,7,10,10
17957,7,10,10
18007,5,10,10
18057,7,10,10
18107,8,10,10
18157,8,10,10
18207,8,10,10
18257,8,10,10
18307,8,10,10
18357,7,10,10
18407,8,10,10
18457,8,10,10
18507,8,10,10
18557,8,10,10
18607,8,10,10
18657,8,10,10
18707,7,10,10
18757,7,10,10
18807,6,10,10
18857,8,10,10
18907,7,10,10
18957,7,10,10
19007,8,10,10
19057,7,10,10
19107,8,10,10
19157,8,10,10
19207,8,10,10
19257,9,10,10
19307,7,10,10
19357,7,10,10
19407,7,10,10
19457,7,10,10
19507,8,10,10
19557,9,10,10
19607,7,10,10
19657,8,10,10
19707,7,10,10
19757,6,10,10
19807,7,10,10
19857,8,10,10
19907,8,10,10
19957,7,10,10
20007,8,10,10
20057,8,10,10
20107,7,10,10
20157,10,10,10
20207,9,10,10
20257,6,10,10
20307,8,10,10
20357,8,10,10
20407,8,10,10
20457,7,10,10
20507,8,10,10
20557,7,10,10
20607,8,10,10
20657,6,10,10
20707,7,10,10
20757,8,10,10
20807,8,10,10
20857,7,10,10
20907,7,10,10
20957,8,10,10
21007,8,10,10
21057,6,10,10
21107,9,10,10
21157,6,10,10
21207,9,10,10
21257,8,10,10
21307,7,10,10
21357,8,10,10
21407,8,10,10
21457,9,10,10
21507,8,10,10
21557,7,10,10
21607,7,10,10
21657,7,10,10
21707,8,10,10
21757,8,10,10
21807,8,10,10
21857,9,10,10
21907,6,10,10
21957,9,10,10
22007,8,10,10
22057,7,10,10
22107,9,10,10
22157,6,10,10
22207,8,10,10
22257,7,10,10
22307,8,10,10
22357,7,10,10
22407,6,10,10
22457,8,10,10
22507,6,10,10
22557,8,10,10
22607,7,10,10
22657,9,10,10
22707,9,10,10
22757,9,10,10
22807,7,10,10
22857,8,10,10
22907,8,10,10
22957,9,10,10
23007,7,10,10
23057,8,10,10
23107,7,10,10
23157,9,10,10
23207,7,10,10
23257,7,10,10
23307,7,10,10
23357,7,10,10
23407,8,10,10
23457,8,10,10
23507,6,10,10
23557,8,10,10
23607,9,10,10
23657,9,10,10
23707,8,10,10
23757,7,10,10
23807,8,10,10
23857,8,10,10
23907,8,10,10
23957,8,10,10
24007,9,10,10
24057,8,10,10
24107,8,10,10
24157,8,10,10
24207,8,10,10
24257,7,10,10
24307,7,10,10
24357,9,10,10
24407,8,10,10
24457,7,10,10
24507,8,10,10
24557,8,10,10
24607,7,10,10
24657,6,10,10
24707,8,10,10
24757,7,10,10
24807,8,10,10
24857,8,10,10
24907,7,10,10
24957,7,10,10
25007,8,10,10
25057,8,10,10
25107,7,10,10
25157,8,10,10
25207,9,10,10
25257,7,10,10
25307,8,10,10
25357,6,10,10
25407,8,10,10
25457,8,10,10
25507,8,10,10
25557,7,10,10
25607,8,10,10
25657,7,10,10
25707,7,10,10
25757,7,10,10
25807,8,10,10
25857,9,10,10
25907,7,10,10
25957,8,10,10
26007,7,10,10
26057,8,10,10
26107,6,10,10
26157,8,10,10
26207,6,10,10
26257,8,10,10
26307,8,10,10
26357,7,10,10
26407,7,10,10
26457,7,10,10
26507,7,10,10
26557,8,10,10
26607,9,10,10
26657,6,10,10
26707,8,10,10
26757,8,10,10
26807,8,10,10
26857,7,10,10
26907,9,10,10
26957,7,10,10
27007,8,10,10
27057,7,10,10
27107,7,10,10
27157,8,10,10
27207,9,10,10
27257,8,10,10
27307,8,10,10
27357,9,10,10
27407,7,10,10
27457,7,10,10
27507,6,10,10
27557,8,10,10
27607,7,10,10
27657,7,10,10
27707,7,10,10
27757,8,10,10
27807,7,10,10
27857,7,10,10
27907,8,10,10
27957,7,10,10
28007,7,10,10
28057,8,10,10
28107,8,10,10
28157,9,10,10
28207,7,10,10
28257,7,10,10
28307,9,10,10
28357,8,10,10
28407,7,10,10
28457,7,10,10
28507,8,10,10
28557,7,10,10
28607,7,10,10
28657,9,10,10
28707,9,10,10
28757,8,10,10
28807,8,10,10
28857,8,10,10
28907,8,10,10
28957,7,10,10
29007,7,10,10
29057,9,10,10
29107,8,10,10
29157,8,10,10
29207,7,10,10
29257,8,10,10
29307,7,10,10
29357,10,10,10
29407,7,10,10
29457,8,10,10
29507,7,10,10
29557,7,10,10
29607,8,10,10
29657,8,10,10
29707,8,10,10
29757,6,10,10
29807,8,10,10
29857,7,10,10
29907,8,10,10
29957,7,10,10
30007,8,10,10
30057,7,10,10
30107,9,10,10
30157,8,10,10
30207,8,10,10
30257,7,10,10
30307,8,10,10
30357,8,10,10
30407,8,10,10
30457,8,10,10
30507,7,10,10
30557,6,10,10
30607,8,10,10
30657,6,10,10
30707,8,10,10
30757,7,10,10
30807,8,10,10
30857,8,10,10
30907,9,10,10
30957,9,10,10
31007,7,10,10
31057,8,10,10
31107,7,10,10
31157,8,10,10
31207,7,10,10
31257,8,10,10
31307,7,10,10
31357,9,10,10
31407,9,10,10
31457,8,10,10
31507,7,10,10
31557,9,10,10
31607,7,10,10
31657,8,10,10
31707,7,10,10
31757,7,10,10
31807,9,10,10
31857,8,10,10
31907,7,10,10
31957,8,10,10
32007,8,10,10
32057,7,10,10
32107,7,10,10
32157,6,10,10
32207,7,10,10
32257,7,10,10
32307,7,10,10
32357,9,10,10
32407,8,10,10
32457,7,10,10
32507,7,10,10
32557,7,10,10
32607,9,10,10
32657,8,10,10
32707,8,10,10
32757,8,10,10
32807,7,10,10
32857,7,10,10
32907,9,10,10
32957,9,10,10
33007,9,10,10
33057,7,10,10
33107,8,10,10
33157,6,10,10
33207,7,10,10
33257,7,10,10
33307,7,10,10
33357,8,10,10
33407,7,10,10
33457,8,10,10
33507,8,10,10
33557,8,10,10
33607,6,10,10
33657,7,10,10
33707,6,10,10
33757,7,10,10
33807,7,10,10
33857,7,10,10
33907,8,10,10
33957,7,10,10
34007,8,10,10
34057,8,10,10
34107,7,10,10
34157,7,10,10
34207,7,10,10
34257,9,10,10
34307,7,10,10
34357,8,10,10
34407,6,10,10
34457,7,10,10
34507,8,10,10
34557,7,10,10
34607,7,10,10
34657,6,10,10
34707,6,10,10
34757,8,10,10
34807,7,10,10
34857,7,10,10
34907,9,10,10
34957,7,10,10
35007,7,10,10
35057,5,10,10
35107,9,10,10
35157,7,10,10
35207,7,10,10
35257,7,10,10
35307,8,10,10
35357,8,10,10
35407,9,10,10
35457,7,10,10
35507,8,10,10
35557,8,10,10
35607,9,10,10
35657,7,10,10
35707,7,10,10
35757,8,10,10
35807,7,10,10
35857,7,10,10
35907,7,10,10
35957,7,10,10
36007,8,10,10
36057,7,10,10
36107,7,10,10
36157,8,10,10
36207,8,10,10
36257,8,10,10
36307,7,10,10
36357,8,10,10
36407,7,10,10
36457,9,10,10
36507,8,10,10
36557,7,10,10
36607,7,10,10
36657,8,10,10
36707,7,10,10
36757,7,10,10
36807,10,10,10
36857,9,10,10
36907,10,10,10
36957,7,10,10
37007,9,10,10
37057,7,10,10
37107,9,10,10
37157,7,10,10
37207,8,10,10
37257,8,10,10
37307,7,10,10
37357,8,10,10
37407,7,10,10
37457,7,10,10
37507,8,10,10
37557,8,10,10
37607,8,10,10
37657,9,10,10
37707,9,10,10
37757,7,10,10
37807,8,10,10
37857,8,10,10
37907,8,10,10
37957,8,10,10
38007,7,10,10
38057,7,10,10
38107,8,10,10
38157,7,10,10
38207,8,10,10
38257,5,10,10
38307,8,10,10
38357,7,10,10
38407,8,10,10
38457,6,10,10
38507,8,10,10
38557,7,10,10
38607,7,10,10
38657,8,10,10
38707,9,10,10
38757,7,10,10
38807,8,10,10
38857,8,10,10
38907,7,10,10
38957,6,10,10
39007,8,10,10
39057,8,10,10
39107,9,10,10
39157,8,10,10
39207,7,10,10
39257,8,10,10
39307,7,10,10
39357,7,10,10
39407,8,10,10
39457,7,10,10
39507,7,10,10
39557,7,10,10
39607,8,10,10
39657,7,10,10
39707,7,10,10
39757,8,10,10
39807,8,10,10
39857,8,10,10
39907,7,10,10
39957,9,10,10
40007,9,10,10
40057,7,10,10
40107,8,10,10
40157,8,10,10
40207,8,10,10
40257,7,10,10
40307,8,10,10
40357,7,10,10
40407,7,10,10
40457,7,10,10
40507,7,10,10
40557,8,10,10
40607,6,10,10
40657,7,10,10
40707,7,10,10
40757,7,10,10
40807,9,10,10
40857,8,10,10
40907,7,10,10
40957,7,10,10
41007,6,10,10
41057,9,10,10
41107,8,10,10
41157,8,10,10
41207,9,10,10
41257,8,10,10
41307,7,10,10
41357,9,10,10
41407,7,10,10
41457,8,10,10
41507,6,10,10
41557,8,10,10
41607,10,10,10
41657,6,10,10
41707,8,10,10
41757,8,10,10
41807,7,10,10
41857,7,10,10
41907,9,10,10
41957,8,10,10
42007,7,10,10
42057,8,10,10
42107,8,10,10
42157,8,10,10
42207,8,10,10
42257,8,10,10
42307,7,10,10
42357,7,10,10
42407,7,10,10
42457,7,10,10
42507,7,10,10
42557,7,10,10
42607,7,10,10
42657,8,10,10
42707,8,10,10
