random,interested_only,topic
0.44946224304046084,0.5538377312827321,0.5828294293688522
0.3799359862672593,0.5683837058032495,0.5743978506716341
0.29830447426463674,0.6070425370895621,0.6115961105656427
0.38326665957959377,0.6674868236230849,0.6093600765245079
0.38609969474534217,0.5821171085961067,0.5896896962530948
0.3201051727271934,0.5541479525265547,0.5907664331918173
0.5049441619858243,0.6594776970705996,0.6037208892441315
0.3563479566016539,0.6483544999299622,0.6297593666830089
0.4694811406810892,0.6210433105405027,0.6138244586752364
0.30084774903400696,0.6161928648689291,0.6192388682407108
0.3910377837791742,0.5871377968419899,0.612115515991863
0.44271478723987084,0.5763281439180358,0.5730986694251257
0.533218955686759,0.613752154018594,0.5842877685716641
0.31111684654913013,0.5927528694500708,0.5440670330939303
0.3985961883218184,0.5596226208157807,0.5527707103328348
0.45720732378446377,0.584301877052457,0.6291658927818635
0.38402241095236805,0.5554974779259836,0.5982744886742843
0.38432117873092225,0.570468714090964,0.5886297017941446
0.3645471542551674,0.56139632865242,0.5890673054227971
0.4131021724614331,0.5406649517916163,0.5718383921332615
0.4357433866744539,0.6293584508060475,0.5761365507088707
0.49329032075808554,0.5897810089911486,0.5650451027978676
0.3959910708719646,0.6386794913191702,0.6331108918246444
0.36472359383613595,0.6030849930102666,0.6364003017945025
0.36534591061728133,0.6119834147997023,0.6108152676153471
0.5865281643734084,0.6055235953240501,0.6233914710613007
0.3861516408649147,0.5914616651308583,0.590901657573901
0.31466966085396486,0.5919986672281334,0.5574216470029226
0.33464307846391383,0.6492852770320143,0.6265363671209718
0.33744417425193746,0.544840141386336,0.559017467554843
0.3522386803642335,0.6290768076908123,0.6128382513236313
0.2828341366475692,0.6318106013667258,0.6392062501093326
0.3934491290680288,0.596152987438842,0.5512600152948846
0.42592148837461785,0.5516482696379679,0.5819023944280906
0.410614446275241,0.6292656322763815,0.6105702093399816
0.38247175383478943,0.5958332165889616,0.5416775398012609
0.43017616822685206,0.6051746581798276,0.5924629772784988
0.40642694884380237,0.5674251868425966,0.5515696116090922
0.32682159868346183,0.5691699949055852,0.5533041943607946
0.48637554099641617,0.5699968088444214,0.6139738835071411
0.3896449299282067,0.5569469418724375,0.5832858097724933
0.4194336114913707,0.5781852759723831,0.6105730191720073
0.32512956887910766,0.575444359892232,0.5891270149972976
0.3867387875866099,0.6048376460102729,0.621554343375558
0.30224027796602726,0.5965459374335123,0.5682012831642435
0.43680972023164755,0.6216669013835435,0.604812553422582
0.4258382317124399,0.624292040542371,0.6176016006264762
0.3699781689977907,0.5426540537696696,0.5739713119861267
0.3935323083118324,0.6022644097561927,0.5999162320131347
0.4277793762143567,0.5564564455677113,0.6019355851068318
0.44228496674239004,0.6263489837751284,0.6580487148319082
0.3489016128333768,0.6008260304591209,0.6228156940903671
0.46333123899458084,0.5713769743753461,0.5679952063576739
0.6126752208608741,0.6175177556896234,0.6017214024696914
0.3548641634308477,0.6362752451407282,0.6709429450003332
0.3934467315251292,0.5687187058685886,0.567136293897105
0.37094385021795523,0.5643739684748066,0.5681276873834437
0.4215109121094516,0.5761296202704037,0.6783983294851432
0.37059750357085897,0.5868315825854864,0.5920248538037094
0.5167534358151145,0.5777868008228029,0.6189062410810598
0.412938588492718,0.5442385633492199,0.5564862024859355
