,random,top,topic
4,4,3,3
54,4,3,3
104,4,5,5
154,4,4,4
204,4,5,5
254,3,3,4
304,4,4,4
354,4,3,3
404,3,3,3
454,5,2,4
504,4,3,4
554,5,4,3
604,5,5,5
654,3,3,2
704,3,4,4
754,3,4,2
804,4,4,4
854,5,5,5
904,4,4,5
954,5,5,4
1004,4,3,0
